Waktu,Samarinda,Balikpapan,Sendawar,Tarakan,Tanjungselor,Malinau,Palangkaraya,Purukcahu,Pangkalanbun,Banjarmasin,KotaBaru,Barabai,Pontianak,Ketapang,Sintang
Feb-11,36.19361447,52.09531926,105.6517421,93.38022023,82.81429988,157.9846461,172.8362816,172.81414,45.70700481,107.5321184,49.67359922,58.96481819,35.50544882,48.5986315,84.82503264
Mar-11,50.0164238,77.10004499,105.9048715,126.1855652,135.8230717,157.8707724,155.6270493,163.7051352,43.08952059,82.50284087,39.2210171,86.53942672,53.23709636,113.9763018,92.02304611
Apr-11,65.48000037,65.70999911,80.27000016,132.4399998,139.4499988,223.8399981,149.4599995,142.2500012,71.79000023,54.37999997,30.76999973,50.20000036,45.77999998,89.32999995,157.4600001
May-11,45.65999998,34.69000032,59.74000023,111.3700001,81.50999972,218.2899992,100.4400001,86.91999982,66.10999992,38.85000005,28.96999976,69.32000047,17.69000003,43.89000019,128.5600004
Jun-11,62.88999946,62.2499997,132.1700004,52.76000002,47.2099998,100.8500006,60.81999969,76.31999958,34.02999987,48.13999996,47.51000002,68.38000015,12.06000009,7.660000026,69.12000048
Jul-11,35.68000042,20.9500001,52.41999963,31.72000006,24.3100002,104.6300005,54.74999991,38.68000001,44.74999976,18.00000004,21.00999991,21.17000026,10.35999973,49.11000001,45.91999999
Aug-11,51.95999986,38.99000019,78.18999945,84.06999968,83.68999974,168.5699997,66.9500002,83.34999967,33.40000018,64.21000012,38.98000013,48.77000018,6.000000179,13.19999999,21.88000011
Sep-11,93.81000012,89.71000057,74.1300008,94.82999918,87.83999979,147.1800002,104.5699987,95.45999913,84.15000027,54.65000041,80.09000073,72.18000052,18.91000029,31.90999985,80.81
Oct-11,112.0100001,128.429999,254.5800011,56.88000029,42.04999979,136.1399999,115.9500005,208.6299996,177.9200009,77.7899997,102.6000004,158.4700006,80.52999996,213.5600005,129.4000007
Nov-11,79.07999972,90.97999978,134.4700012,78.49999949,41.57999986,93.76000014,156.5100007,114.4099996,106.4400018,60.1699999,94.22999982,87.47999983,97.06999938,119.8999999,157.1900011
Dec-11,200.9400004,170.0199995,109.5699998,97.77000034,71.78000006,165.0899984,157.9200002,178.0400006,128.3799999,253.9099983,167.6499994,169.9700007,129.5399988,114.3399987,107.1000002
Jan-12,143.1600006,269.6800004,214.0699988,92.30999982,84.52000079,161.7099999,191.1399984,151.8400004,38.16000023,197.2899997,188.1699994,191.7100001,46.41000022,41.12999971,75.02999996
Feb-12,94.38000029,80.30999992,160.0999984,100.2000009,60.58999988,131.8500007,228.1400006,178.3399999,77.44999963,185.3999983,53.06000034,69.71999971,87.30000007,82.68999998,99.46000057
Mar-12,100.5175655,79.44156737,63.79846476,95.12794676,49.8440293,140.8045593,134.4453858,106.2456456,57.34894208,119.8016536,48.31363997,97.54906598,48.2953012,52.20176772,98.32657217
Apr-12,78.35999972,67.71999986,80.27000126,145.8099986,120.0600008,122.6900017,210.749999,81.74999969,164.0900004,86.72999978,20.37999974,32.25999999,79.46999928,134.31,144.7300006
May-12,38.97999986,47.97,42.44999973,76.41000003,70.88999963,249.9399997,84.89000028,67.47000015,89.91000015,33.73000025,21.15000014,28.06000026,45.18000019,33.28999981,84.51000026
Jun-12,63.64000044,93.99000014,57.28000017,43.53999999,33.12000008,89.94,62.02000013,55.97000059,22.83000027,20.28000014,65.13000002,63.81999993,14.99000002,9.460000142,47.24000055
Jul-12,108.6099999,93.79999996,93.36999997,123.6299999,84.03999962,197.4300001,58.27999966,74.86000013,51.55000019,66.52999967,82.76999966,121.1100003,88.92999932,48.55000064,111.0900004
Aug-12,63.90000047,60.37999972,93.95000081,62.72999997,70.28999953,155.0600005,91.74999982,105.2099998,63.33000007,136.5199981,56.19000008,83.91999938,15.8900003,59.47000027,84.14000112
Sep-12,44.60000001,50.06000055,63.26999953,53.59999979,67.16999985,111.5100005,26.44000018,57.01000027,44.84000051,30.21999982,20.67000009,51.09000006,4.229999915,0.569999993,48.2100004
Oct-12,121.7999994,119.5799994,215.7999993,69.11999983,62.76999983,184.0300002,125.0500011,121.35,135.5200009,82.06000088,20.71999972,93.30000003,59.54999989,120.93,118.9799983
Nov-12,125.2599994,119.3999997,124.3500006,82.36999941,69.01000015,95.8600001,143.6199996,130.1800005,177.1999987,85.14999989,93.2799998,118.6900003,82.55999936,148.8099992,156.7199994
Dec-12,197.8500001,171.6700005,161.8300004,50.01000011,50.73000056,83.989999,122.7700007,144.449999,129.2399994,88.35000002,136.46,171.4600003,172.2099997,111.9899998,140.9000004
Jan-13,80.39000006,93.73999889,79.21000046,65.89000005,99.01999989,162.3300013,67.37999991,85.37000042,68.71999976,175.4700008,69.39999961,89.35999973,57.60000058,112.3000005,73.14999983
Feb-13,117.3600005,153.2299994,218.4600004,54.12000054,65.47999963,93.58000007,180.2500003,173.829999,104.2100004,216.3399983,142.1099998,284.3899997,62.65999955,83.62999952,149.3100003
Mar-13,13.54999984,6.399999915,55.77000064,100.0799994,70.95999986,99.96999967,84.49999973,85.78999934,71.21000059,21.5600002,0.129999995,13.9200001,83.80000053,88.14999986,123.1700013
Apr-13,109.0699996,107.5900004,150.1199984,144.5999996,95.23999986,156.3099987,129.2800004,109.4000005,101.0799995,69.70000005,74.51999938,61.83999989,83.20999949,113.3199999,163.2999994
May-13,86.06999929,78.05000024,86.5900007,93.16000068,68.00999995,163.5199997,89.82000002,123.0600007,91.22000054,42.21999995,57.04000012,61.30999973,64.98000074,81.0600003,113.9300002
Jun-13,29.06000039,26.12000011,85.44000025,91.90000099,67.3900001,155.6099989,37.17000024,40.04000008,16.58999994,22.98000007,36.2799999,36.32000011,27.18000001,30.89000015,34.02999997
Jul-13,117.0300001,121.7899996,49.81999944,68.4300001,46.32999992,185.849999,78.59000018,70.87000082,78.45999959,48.4099997,81.05999956,80.39000035,86.80999929,61.04999956,140.1699996
Aug-13,92.50000143,117.9399983,183.2100011,87.12999995,70.75999983,145.9299986,107.4400007,138.3199981,99.47999987,89.85000001,44.18000019,57.30999974,35.06999977,55.43999949,166.4300002
Sep-13,158.2099994,132.6100004,84.43999991,73.35999987,65.57999998,126.3000009,91.72999956,96.95000063,43.03000048,54.60999969,81.52000016,105.2500001,5.970000088,18.19000003,87.29999921
Oct-13,92.22000045,82.83000034,86.12999992,39.77000043,59.96000084,151.0199994,67.13999958,89.08000004,102.7899997,50.64000018,81.03000014,66.01000052,76.75999983,71.44999926,83.78000021
Nov-13,104.23,113.1799993,111.4599998,58.97000018,66.2900003,104.5699995,101.2699995,150.6400004,81.26000008,78.06000023,79.49999918,119.2199998,103.2399999,111.2600004,154.849999
Dec-13,219.6499999,197.6200005,233.069999,75.05999944,52.50999984,106.5600008,158.9000009,183.239999,115.8199998,265.4300024,224.1500004,235.1800013,144.389998,111.9399994,181.5299991
Jan-14,141.59,139.7700005,133.7999998,89.7900005,75.63000011,161.5799992,92.54999956,61.83999991,33.95999974,48.40999927,25.58999983,67.6700002,32.28000014,30.88999978,54.79999988
Feb-14,14.07904355,25.77282611,24.32457883,70.28229619,81.72061502,78.16170832,70.3977473,45.58606049,17.13396253,62.18461839,12.32925478,17.11130211,54.68624467,53.63973757,45.55496604
